0000040395800000000000,00000001699314318614,0000037580,usd
0000040395800000000001,00000001699314318614,0000078117,usd
0000040395800000000002,00000001699314318614,0000082579,usd
0000040395800000000003,00000001699314318614,0000006924,usd
0000040395800000000004,00000001699314318614,0000030519,usd
0000040395800000000005,00000001699314318614,0000002798,usd
0000040395800000000006,00000001699314318614,0000026423,usd
0000040395800000000007,00000001699314318614,0000078874,usd
0000040395800000000008,00000001699314318614,0000024618,usd
0000040395800000000009,00000001699314318614,0000031739,usd
0000040395800000000010,00000001699314318614,0000090531,usd
0000040395800000000011,00000001699314318614,0000061521,usd
0000040395800000000012,00000001699314318614,0000089660,usd
0000040395800000000013,00000001699314318614,0000089989,usd
0000040395800000000014,00000001699314318614,0000074716,usd
0000040395800000000015,00000001699314318614,0000000101,usd
