0000088544000000000000,SETTLED,D8E60E41
0000088544000000000001,SETTLED,D8E60E41
0000088544000000000002,SETTLED,D8E60E41
0000088544000000000003,SETTLED,D8E60E41
0000040395800000000000,SETTLED,D8E60E41
0000040395800000000001,SETTLED,D8E60E41
0000040395800000000002,SETTLED,D8E60E41
0000040395800000000003,SETTLED,D8E60E41
0000040395800000000004,SETTLED,D8E60E41
0000040395800000000005,SETTLED,D8E60E41
0000040395800000000006,SETTLED,D8E60E41
0000040395800000000007,SETTLED,D8E60E41
0000040395800000000008,SETTLED,D8E60E41
0000040395800000000009,SETTLED,D8E60E41
0000040395800000000010,SETTLED,D8E60E41
0000040395800000000011,SETTLED,D8E60E41
0000040395800000000012,SETTLED,D8E60E41
0000040395800000000013,SETTLED,D8E60E41
0000040395800000000014,SETTLED,D8E60E41
0000040395800000000015,SETTLED,D8E60E41
0000079477200000000000,PENDING,00000000
0000079477200000000001,PENDING,00000000
0000079477200000000002,PENDING,00000000
0000079477200000000003,PENDING,00000000
0000079477200000000004,PENDING,00000000
0000079477200000000005,PENDING,00000000
0000079477200000000006,PENDING,00000000
0000079477200000000007,PENDING,00000000
0000079477200000000008,PENDING,00000000
0000079477200000000009,PENDING,00000000
0000079477200000000010,PENDING,00000000
0000079477200000000011,PENDING,00000000
0000079477200000000012,PENDING,00000000
0000079477200000000013,PENDING,00000000
0000079477200000000014,PENDING,00000000
0000079477200000000015,PENDING,00000000
0000079477200000000016,PENDING,00000000
0000079477200000000017,PENDING,00000000
0000079477200000000018,PENDING,00000000
0000079477200000000019,PENDING,00000000
0000079477200000000020,PENDING,00000000
0000079477200000000021,PENDING,00000000
0000079477200000000022,PENDING,00000000
0000079477200000000023,PENDING,00000000
0000079477200000000024,PENDING,00000000
0000079477200000000025,PENDING,00000000
